date,Central bank liquidity swaps,Corporate Credit Facility LLC,Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (Through 2010-02-03),"Credit extended to American International Group, Inc., Net",Money Market Mutual Fund Liquidity Facility (Post 2020-03-18),Other credit extensions,Payroll Protection Program Liquidity Facility,Primary credit,Primary dealer and other broker-dealer credit (Through 2010-02-03),Primary dealer credit facility (Post 2020-03-17),Seasonal credit,Secondary credit,Term Asset-Backed Securities Loan Facility,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money Market Investor Funding Facility,Term auction credit,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of TALF LLC,Foreign currency denominated assets,Bank premises,Coin,Gold certificate account,Interdistrict settlement account,Items in process of collection,Net portfolio holdings of Commercial Paper Funding Facility II LLC (Post 2020-04-14),"Other Assets, Consolidated Table",Repurchase agreements,Special drawing rights certificate account,Preferred interests in AIA Aurora LLC and ALICO Holdings LLC,Federal agency debt securities,Mortgage-backed securities,Bills,Inflation compensation,"Notes and bonds, inflation-indexed","Notes and bonds, nominal",Unamortized discounts on securities held outright,Unamortized premiums on securities held outright
2003-12-03,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,19322,1606,744,11039,0,10519,0,7828,23500,2200,0,10,0,243385,1680,13994,406173,-896,9927
2003-12-10,0,0,0,0,0,0,0,5,0,0,26,0,0,0,0,0,0,0,0,0,19415,1608,754,11039,0,10462,0,8221,29250,2200,0,0,0,243767,1676,13994,406173,-896,9894
2003-12-17,0,0,0,0,0,0,0,16,0,0,35,0,0,0,0,0,0,0,0,0,19645,1610,762,11039,0,11283,0,8581,25000,2200,0,0,0,244113,1672,13994,406173,-894,9862
2003-12-24,0,0,0,0,0,0,0,135,0,0,39,0,0,0,0,0,0,0,0,0,19734,1623,747,11039,0,11863,0,8937,36500,2200,0,0,0,244381,1668,13994,406173,-880,9825
2003-12-31,0,0,0,0,0,0,0,41,0,0,22,0,0,0,0,0,0,0,0,0,19868,1628,722,11039,0,9237,0,8920,43750,2200,0,0,0,244833,1665,13994,406173,-893,9798
2004-01-07,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,20011,1624,725,11039,0,12243,0,9382,24000,2200,0,0,0,244897,1655,13994,406173,-889,9766
2004-01-14,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,20116,1625,752,11039,0,8874,0,9854,24000,2200,0,0,0,244985,1646,13994,406173,-887,9734
2004-01-21,0,0,0,0,0,0,0,120,0,0,12,0,0,0,0,0,0,0,0,0,19925,1644,779,11039,0,13977,0,9715,42000,2200,0,0,0,245028,1636,13994,406173,-884,9701
2004-01-28,0,0,0,0,0,0,0,11,0,0,14,0,0,0,0,0,0,0,0,0,20043,1644,813,11039,0,12134,0,10099,23000,2200,0,0,0,245266,1626,13994,406173,-883,9666
2004-02-04,0,0,0,0,0,0,0,13,0,0,10,0,0,0,0,0,0,0,0,0,19988,1644,858,11038,0,10173,0,10236,23250,2200,0,0,0,245505,1620,13994,406173,-888,9632
2004-02-11,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,20238,1645,875,11038,0,8118,0,10725,18750,2200,0,0,0,245847,1616,13994,408394,-884,9669
2004-02-18,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,20156,1646,881,11038,0,13421,0,7255,23500,2200,0,0,0,246055,1612,13994,409124,-892,9673
2004-02-25,0,0,0,0,0,0,0,251,0,0,19,0,0,0,0,0,0,0,0,0,19676,1650,878,11038,0,8333,0,7598,20000,2200,0,0,0,246141,1608,13994,409784,-889,9722
2004-03-03,0,0,0,0,0,0,0,5,0,0,22,0,0,0,0,0,0,0,0,0,19216,1649,867,11041,0,9386,0,7643,23750,2200,0,0,0,246240,1613,13994,409784,-897,9686
2004-03-10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19281,1651,857,11041,0,7038,0,8047,18750,2200,0,0,0,246372,1639,14464,410563,-895,9804
2004-03-17,0,0,0,0,0,0,0,311,0,0,36,0,0,0,0,0,0,0,0,0,19486,1653,846,11041,0,6801,0,8371,28750,2200,0,0,0,246469,1657,14464,410563,-891,9768
2004-03-24,0,0,0,0,0,0,0,6,0,0,42,0,0,0,0,0,0,0,0,0,19665,1655,834,11041,0,5588,0,8780,19750,2200,0,0,0,246469,1674,14464,411388,-882,9799
2004-03-31,0,0,0,0,0,0,0,31,0,0,33,0,0,0,0,0,0,0,0,0,19914,1663,836,11041,0,6730,0,8829,27500,2200,0,0,0,246539,1692,14464,411388,-881,9762
2004-04-07,0,0,0,0,0,0,0,33,0,0,47,0,0,0,0,0,0,0,0,0,19725,1658,844,11041,0,7145,0,9284,19750,2200,0,0,0,246729,1713,14464,411388,-876,9726
2004-04-14,0,0,0,0,0,0,0,30,0,0,56,0,0,0,0,0,0,0,0,0,19250,1662,834,11041,0,6801,0,9705,29700,2200,0,0,0,247132,1733,14464,411388,-871,9689
